Mean_Distance,Speed,Clustering Value
71.24,28,1
52.53,25,1
64.54,27,1
55.69,22,1
54.58,25,1
41.91,10,2
58.64,20,1
52.02,8,2
31.25,34,2
44.31,19,2
49.35,40,1
58.07,45,1
44.22,22,2
55.73,19,1
46.63,43,1
52.97,32,1
46.25,35,1
51.55,27,1
57.05,26,1
58.45,30,1
43.42,23,2
55.68,37,1
55.15,18,1
43.84,22,2
59.26,32,1
37.14,41,1
64.3,29,1
45.75,16,2
45.97,23,2
56.04,39,1
33.64,45,1
41.67,33,2
50.68,39,1
54.22,35,1
56.2,29,1
46.16,41,1
50.22,24,2
49.66,33,1
38.61,37,1
55.28,36,1
57.87,41,1
61.69,12,2
37.41,21,2
53.83,32,1
62.98,22,1
46.97,13,2
58.03,24,1
59.87,36,1
81.34,31,1
48.56,26,2
17.66,23,2
46.01,21,2
45.34,26,2
39.64,31,2
51.22,36,1
36.21,31,2
47.32,55,1
54.87,27,1
58.97,6,2
57.3,42,1
59.94,32,1
61.72,25,1
53.19,23,2
35.13,38,2
48.47,20,2
51.17,43,1
42.14,39,1
54.31,35,1
48.93,32,1
53.51,44,1
51.72,24,2
49.86,10,2
49.2,41,1
60.2,39,1
54.06,20,2
72.91,30,1
61.92,40,1
44.2,24,2
60.75,39,1
68.36,37,1
56.39,20,2
38.19,15,2
66.19,27,1
58.2,17,2
47.55,22,2
37.62,16,2
17.81,26,2
31.25,29,2
61,41,1
40.98,33,2
53.69,24,1
51.46,9,2
64.57,29,1
53.79,23,2
64.28,34,1
38.41,24,2
58.89,42,1
44.17,33,2
50.41,43,1
63.63,28,1
45.78,24,2
55.61,20,2
67.23,5,2
49.69,38,1
54.6,30,1
40.94,59,1
43.84,36,1
56.36,19,2
69.53,23,1
51.48,19,2
52.93,41,1
55.52,8,2
52.14,23,2
62.86,21,1
37.53,33,2
63.47,25,1
62.11,33,1
43.52,25,2
47.97,27,2
42.27,37,1
56.05,30,1
62.08,37,1
35.25,53,1
39.81,25,2
60.27,33,1
53.41,22,2
56.28,27,1
53.31,25,2
55.24,30,1
44.97,29,2
40.3,43,1
47.18,42,1
46.4,34,1
35.11,15,2
54.33,38,1
54.59,64,1
61.67,50,1
52.39,19,2
52.37,6,2
40.84,25,2
27.42,27,2
44.79,31,2
59.84,37,1
36,45,1
47.64,10,2
51.85,37,1
59.73,15,2
42.96,37,1
51.84,27,2
59.62,23,1
58.82,30,1
50.93,30,1
41.35,23,2
24.58,45,2
57.74,22,2
38.14,33,2
51.82,20,2
41.37,17,2
55.01,24,2
64.56,53,1
46.09,35,1
57.81,20,2
46.31,23,2
66.62,37,1
42.89,17,2
40.82,23,2
50.55,41,1
40.43,40,1
53.36,25,2
44.83,27,2
35.87,35,2
46.95,23,2
47.75,20,2
57.12,26,1
38.03,43,1
54.31,45,1
50.29,39,1
33.6,24,2
45.13,44,1
31.68,31,2
72.36,4,2
48.43,55,1
44.48,36,1
56.54,20,2
54.11,50,1
49.51,29,2
50.66,36,1
61.82,23,1
50.45,15,2
67.7,43,1
41.61,12,2
39.63,31,2
36.08,31,2
45.18,27,2
49.33,28,2
48.66,45,1
53.81,25,2
35.57,44,1
48.83,39,1
69.14,40,1
60.75,59,1
52.01,39,1
47.88,45,1
40.3,30,2
48.52,30,2
55.06,37,1
48.45,28,2
58.65,40,1
69.29,21,1
51.7,21,2
69.95,18,1
53.04,37,1
47.97,27,2
64.01,26,1
61.76,23,1
49.98,28,2
81.96,27,1
56.56,25,2
51.69,30,1
54.83,40,1
54.97,39,1
44.07,27,2
45.95,40,1
42.24,22,2
43.52,49,1
51.33,31,1
56.68,55,1
51.06,24,2
41.95,28,2
53.56,27,2
47.86,45,1
43.74,34,1
41.22,39,1
45.82,42,1
44.74,25,2
53.88,30,1
44.4,29,2
59.01,35,1
53.27,19,2
45.62,25,2
53.16,53,1
50.91,51,1
33.53,42,1
46.92,33,1
59.24,35,1
48.37,32,1
50.26,21,2
38.14,30,2
63.42,26,1
57.46,14,2
63.79,33,1
58.13,30,1
56.35,41,1
52.95,3,2
55.65,27,1
29.44,34,2
49.58,39,1
31.3,33,2
43.48,29,2
48.94,34,1
43.93,32,2
53.83,36,1
53.69,21,2
60.33,8,2
40.97,42,1
49.29,21,2
56.06,34,1
66.16,32,1
32.61,23,2
37.37,25,2
46.04,38,1
57.17,33,1
41.06,31,2
47.21,36,1
55.74,44,1
56.34,25,2
